CLAVE MONITOREO,CLAVE SITIO,NOMBRE DEL SITIO,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD,FECHA,Alk,Cond,Hard,TDS,Fe,Mn,F,FC,NO3N,As,Cd,Cr,Hg,Pb
DLAGU19-260513,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2013-05-20,371.135,842.0,308.4032,538.88,0.8667,0.0072,0.8151,1.0,1.6621,0.01,0.003,0.011,0.0005,0.005
DLAGU19-270714,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2014-07-22,398.8,867.0,188.0,582.0,0.025,0.0015,0.857,121.0,1.515,0.01,0.003,0.005,0.0005,0.005
DLAGU19-190415,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2015-04-23,406.0,930.0,264.01,604.0,0.025,0.0015,0.80978,1.0,1.5341,0.01,0.003,0.005,0.0005,0.005
DLAGU19-140216,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2016-02-11,402.0,881.0,266.16,612.0,0.025,0.0015,0.796525,1.0,1.535676,0.01,0.003,0.005,0.0005,0.005
DLAGU19-090717,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2017-07-12,401.12,861.0,268.1046,576.0,0.025,0.0015,0.7025,10.0,1.741013,0.01,0.003,0.005,0.0005,0.005
DLAGU19-110318,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2018-03-08,368.64,871.0,245.8008,580.0,0.025,0.0015,0.8267,10.0,1.849185,0.01789,0.003,0.005,0.0005,0.005
DLAGU19-021218,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2018-11-28,486.14,999.0,261.5694,604.0,0.025,0.0015,0.7871,10.0,2.032986,0.01093,0.003,0.005,0.0005,0.005
DLAGU19-160619,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2019-06-12,398.04,886.0,230.7144,578.0,0.025,0.0015,0.8459,10.0,1.955307,0.01,0.003,0.005,0.0005,0.005
DLAGU19-260720,DLAGU19,POZO PASO BLANCO,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557,2020-07-23,403.3,826.0,243.417,546.4,0.025,0.0015,0.8505,10.0,1.99488,0.0107,0.003,0.005,0.0005,0.005
DLAGU1M1-270714,DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402,2014-07-22,341.9,775.0,87.0,512.0,0.025,0.0015,4.719,10.0,1.596,0.01,0.003,0.005,0.0011,0.005
