CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,Alk,Cond,Hard,TDS,Fe,Mn,F,FC,NO3N,As,Cd,Cr,Hg,Pb
BROTE CARMINA 3,CARMINA 3 BROTE,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA ,PRESA LA AMISTAD,BROTE,-101.07538,29.44255,2022,139.7,884.0,505.8,562.4,0.025,0.032,0.82,97.0,0.591,0.01,0.003,0.005,0.0005,0.005
CAZEPA-1,POZO SAN FERNANDO 1,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,-103.53551,25.50971,2022,141.3,279.0,132.0,184.6,0.025,0.0015,0.52,1.1,0.317,0.01,0.003,0.005,0.0005,0.005
CAZEPA-10,POZO EL HUARACHE,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,-103.49819,25.52886,2022,200.0,519.0,230.0,378.0,0.375,0.025,0.43,1.1,3.182,0.01,0.003,0.005,0.0005,0.015
CAZEPA-11,POZO LAS AURAS,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,-103.51438,25.54889,2022,176.8,548.0,188.0,322.0,0.029,0.002,0.5,1.1,3.843,0.021,0.003,0.005,0.0005,0.005
CAZEPA-2,POZO SAN FERNANDO 2,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,-103.53953,25.50946,2022,168.4,378.0,152.0,247.4,0.025,0.088,0.55,1.1,0.295,0.01,0.003,0.005,0.0005,0.005
CAZEPA-25,POZO RAYMUNDO,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,-103.54054,25.51169,2022,170.2,372.0,162.0,242.8,0.025,0.003,0.48,1.1,0.44,0.01,0.003,0.005,0.0005,0.005
CAZEPA-3,POZO SAN FERNANDO 3,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,-103.53687,25.50951,2022,203.4,540.0,220.0,384.4,0.051,0.003,0.47,1.1,1.748,0.016,0.003,0.005,0.0005,0.005
CAZEPA-4,POZO SAN FERNANDO 4,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,-103.53752,25.50777,2022,206.8,551.0,216.0,387.8,0.025,0.049,0.52,1.1,1.058,0.013,0.003,0.005,0.0005,0.005
CAZEPA-5,POZO SAN FERNANDO 5,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,-103.5385,25.50933,2022,207.9,546.0,226.0,395.2,0.025,0.009,0.46,1.1,0.891,0.015,0.003,0.005,0.0005,0.005
CAZEPA-7,POZO SAN FERNANDO 7,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,-103.53713,25.50861,2022,203.4,532.0,220.0,378.8,0.025,0.0015,0.46,1.1,1.21,0.011,0.003,0.005,0.0005,0.005
